id,left,top,right,bottom,speed,dir,Nov8Fire,Nov9Fire,Nov9Pred,elevation,band1,band2,band3,band4,burnable
87,-121.7827596,39.65175335,-121.7802596,39.64925335,1,0,0,0,0,0,3776.445289,3276.542401,2659.219757,3869.616717,0
88,-121.7827596,39.64925335,-121.7802596,39.64675335,1,0,0,0,0,0,3963.741185,3451.855775,2941.176292,3947.073556,0
89,-121.7827596,39.64675335,-121.7802596,39.64425335,1,0,0,0,0,0,3776.445289,3276.542401,2659.219757,3869.616717,0
90,-121.7827596,39.64425335,-121.7802596,39.64175335,1,0,0,0,0,0,3801.892249,3295.503191,2694.58997,3909.802736,0
91,-121.7827596,39.64175335,-121.7802596,39.63925335,1,0,0,0,0,0,4074.268237,3757.529483,3542.938754,4131.305775,0
92,-121.7827596,39.63925335,-121.7802596,39.63675335,1,0,0,0,0,0,3808.282371,3306.531459,2785.843161,3782.078723,0
93,-121.7827596,39.63675335,-121.7802596,39.63425335,1,0,0,0,0,0,4074.268237,3757.529483,3542.938754,4131.305775,0
94,-121.7827596,39.63425335,-121.7802596,39.63175335,1,0,0,0,0,0,4026.364286,3692.09924,3225.685258,4227.215805,0
95,-121.7827596,39.63175335,-121.7802596,39.62925335,1,0,0,0,0,0,3561.678267,3074.672188,2334.23617,4398.375076,0
96,-121.7827596,39.62925335,-121.7802596,39.62675335,1,0,0,0,0,0,4026.364286,3692.09924,3225.685258,4227.215805,0
97,-121.7827596,39.62675335,-121.7802596,39.62425335,1,0,0,0,0,0,3861.42462,3419.574316,2715.832827,4611.737538,0
98,-121.7827596,39.62425335,-121.7802596,39.62175335,1,0,0,0,0,0,4014.479331,3581.419757,3114.146809,4336.647112,0
99,-121.7827596,39.62175335,-121.7802596,39.61925335,1,0,0,0,0,0,3861.42462,3419.574316,2715.832827,4611.737538,0
100,-121.7827596,39.61925335,-121.7802596,39.61675335,1,0,0,0,0,0,4008.393009,3533.92462,3148.322948,3775.241489,0
101,-121.7827596,39.61675335,-121.7802596,39.61425335,1,0,0,0,0,0,4150.056992,3577.826316,3273.592632,3007.496992,0
102,-121.7827596,39.61425335,-121.7802596,39.61175335,1,0,0,0,0,0,4008.393009,3533.92462,3148.322948,3775.241489,0
103,-121.7827596,39.61175335,-121.7802596,39.60925335,1,0,0,0,0,0,4041.551672,3524.57538,3057.00152,3507.863374,0
