id,band1_norm,band2_norm,band3_norm,band4_norm
16404,0.521874085,0.392994432,0.302202507,0.445167958
16405,0.507362786,0.357866347,0.269648186,0.291847491
16406,0.521874085,0.392994432,0.302202507,0.445167958
16407,0.493926481,0.360007211,0.253854953,0.446625605
16408,0.508691078,0.371455662,0.277160944,0.335678614
16409,0.503233404,0.369897989,0.271094724,0.411965071
16410,0.508691078,0.371455662,0.277160944,0.335678614
16411,0.532200964,0.389872814,0.305012012,0.286385068
16412,0.512003405,0.367405059,0.276856737,0.308761037
16413,0.532200964,0.389872814,0.305012012,0.286385068
16414,0.572086412,0.431659057,0.35202244,0.314321276
16415,0.523916911,0.369358792,0.278839314,0.252384429
16416,0.572086412,0.431659057,0.35202244,0.314321276
16417,0.610932447,0.479120274,0.412661032,0.338025824
16418,0.568384767,0.427209071,0.347549854,0.325471813
16419,0.610932447,0.479120274,0.412661032,0.338025824
16420,0.557972565,0.417844955,0.342797499,0.306248561
16421,0.551681316,0.401067126,0.318868628,0.273304738
16422,0.557972565,0.417844955,0.342797499,0.306248561
16423,0.580264608,0.426344806,0.337395436,0.273901534
16424,0.608535413,0.469324884,0.392303309,0.354496068
16425,0.580264608,0.426344806,0.337395436,0.273901534
16426,0.526119593,0.363762508,0.272779499,0.248794443
16427,0.575081011,0.422221454,0.334273405,0.280412652
16428,0.526119593,0.363762508,0.272779499,0.248794443
16429,0.520794344,0.451505587,0.388619613,0.594614572
16430,0.435685817,0.352439569,0.267416797,0.449632871
16431,0.472678223,0.400794988,0.324183276,0.530654267
16432,0.598283757,0.545244632,0.494504968,0.617459063
16433,0.591687506,0.546441736,0.504825309,0.657833574
16434,0.539837644,0.479803181,0.421563193,0.587999437
16435,0.52620873,0.474728802,0.419993726,0.621126636
16436,0.522020865,0.468619471,0.397223575,0.627922608
16437,0.553026658,0.496071519,0.438895701,0.618373096
16438,0.537129093,0.483876908,0.42324227,0.652878192
16439,0.543972327,0.473816182,0.402640391,0.592095934
16440,0.46240305,0.353179252,0.255390607,0.356097426
16441,0.463537273,0.363460157,0.267135246,0.479100043
16442,0.528609829,0.435419279,0.334796936,0.435992377
16443,0.438190863,0.321446455,0.227727398,0.34286391
16444,0.522524041,0.441863295,0.373570929,0.509403117
16445,0.537426519,0.478618048,0.405895781,0.618687683
16446,0.428536445,0.314728048,0.213515756,0.281409853
16447,0.415930822,0.296002537,0.196818473,0.248172911
16448,0.438792407,0.326692351,0.238156687,0.320815338
16449,0.460673107,0.368080811,0.285351376,0.442043844
16450,0.442965539,0.342033611,0.258838171,0.389959066
16451,0.427160095,0.319421319,0.230911098,0.335721814
16452,0.448452236,0.359911515,0.282559274,0.455820599
16453,0.433966667,0.342067747,0.261429948,0.435768363
16454,0.415319471,0.292605026,0.203770434,0.288645394
16455,0.432430241,0.307122442,0.227734244,0.257970686
16456,0.434071331,0.311340984,0.238011431,0.253494803
16457,0.420767936,0.301459394,0.226374061,0.272550626
16458,0.420248859,0.302961522,0.226585265,0.280934196
16459,0.442572904,0.346250996,0.266193142,0.440245615
