,0,
422,0.21771109,0
423,0.118148655,0
424,0.20542821,0
425,0.21952376,0
426,0.27783725,0
427,0.15607706,0
428,0.13900182,0
429,0.06814498,0
430,0.18433285,0
431,0.26635855,0
432,0.24942964,0
433,0.1527488,0
434,0.08748108,0
435,0.09502751,0
436,0.09509647,0
437,0.06903243,0
438,0.071804374,0
439,0.06524113,0
440,0.27837706,0
441,0.47648507,0
442,0.48605138,0
443,0.39275044,0
444,0.15653133,0
445,0.22330207,0
446,0.24411544,0
447,0.26690242,0
448,0.24411535,0
449,0.523456,1
450,0.4748039,0
451,0.523456,1
452,0.29061377,0
453,0.23219734,0
454,0.29061377,0
455,0.21187961,0
456,0.19822252,0
457,0.21187961,0
458,0.37023523,0
459,0.46495554,0
460,0.21005145,0
461,0.46495554,0
462,0.4463804,0
463,0.278578,0
464,0.4463804,0
465,0.5568703,1
466,0.56303114,1
467,0.5568703,1
468,0.43576705,0
469,0.46297476,0
470,0.43576705,0
471,0.62878615,1
472,0.29245415,0
473,0.62878615,1
474,0.47989243,0
475,0.57686555,1
476,0.47989243,0
477,0.41674024,0
478,0.5099834,1
479,0.41674012,0
480,0.42723212,0
481,0.4574321,0
482,0.42723212,0
483,0.056846976,0
484,0.21264625,0
485,0.46926808,0
486,0.21264625,0
487,0.44984025,0
488,0.34801054,0
489,0.44984025,0
490,0.51456755,1
491,0.41243672,0
492,0.51456755,1
493,0.36711678,0
494,0.47819757,0
495,0.36711678,0
496,0.3071,0
497,0.632461,1
498,0.3071,0
499,0.5771204,1
500,0.5638458,1
501,0.5771204,1
502,0.66989434,1
503,0.6241727,1
504,0.66989434,1
505,0.2418494,0
506,0.7013979,1
507,0.2418494,0
508,0.16680488,0
509,0.42277837,0
510,0.27507436,0
511,0.42277843,0
512,0.39070445,0
513,0.43942258,0
514,0.39070445,0
515,0.020083636,0
516,0.097510844,0
517,0.020083636,0
518,0.0453521,0
519,0.0440813,0
520,0.0453521,0
521,0.17949432,0
522,0.1111052,0
523,0.17949432,0
524,0.18771464,0
525,0.3304032,0
526,0.18771464,0
527,0.101315916,0
528,0.083593965,0
529,0.101315916,0
530,0.08022514,0
531,0.11161077,0
532,0.08022514,0
533,0.20421875,0
534,0.10834664,0
535,0.2569536,0
536,0.10834664,0
537,0.3930404,0
538,0.06111121,0
539,0.3930404,0
540,0.331352,0
541,0.20502162,0
542,0.331352,0
543,0.088891655,0
544,0.10504985,0
545,0.088891566,0
546,0.08162114,0
547,0.12653866,0
548,0.08162114,0
549,0.45311242,0
550,0.24442068,0
551,0.45311242,0
552,0.40763038,0
553,0.46023637,0
554,0.40763038,0
555,0.22330207,0
556,0.15653133,0
557,0.2669024,0
558,0.24411535,0
559,0.17165083,0
560,0.4748039,0
561,0.523456,1
562,0.26734954,0
563,0.23219734,0
564,0.29061377,0
565,0.3101368,0
566,0.19822252,0
567,0.21187961,0
568,0.37023523,0
569,0.54421276,1
570,0.21005145,0
571,0.46495554,0
572,0.249962,0
573,0.278578,0
574,0.44638026,0
575,0.40127155,0
576,0.56303114,1
577,0.5568703,1
578,0.26411656,0
579,0.46297476,0
580,0.43576705,0
581,0.2922242,0
582,0.29245415,0
583,0.62878615,1
584,0.6368635,1
585,0.57686555,1
586,0.47989243,0
587,0.58459353,1
588,0.50998354,1
589,0.41674024,0
590,0.3624054,0
591,0.4574321,0
592,0.42723212,0
593,0.056846976,0
594,0.18725476,0
595,0.46926808,0
596,0.21264625,0
597,0.10753086,0
598,0.34801054,0
599,0.44984025,0
600,0.56675667,1
601,0.41243672,0
602,0.51456755,1
603,0.51453286,1
604,0.47819757,0
605,0.36711678,0
606,0.28587168,0
607,0.632461,1
608,0.3071,0
609,0.65281975,1
610,0.5638458,1
611,0.5771204,1
612,0.6411799,1
613,0.6241727,1
614,0.66989434,1
615,0.70876443,1
616,0.7013979,1
617,0.2418494,0
618,0.16680488,0
619,0.26423937,0
620,0.27507436,0
621,0.42277837,0
622,0.49035284,0
623,0.43942258,0
624,0.39070445,0
625,0.40080777,0
626,0.097510844,0
627,0.020083636,0
628,0.030435592,0
629,0.0440813,0
630,0.0453521,0
631,0.20913738,0
632,0.1111052,0
633,0.17949432,0
634,0.19951695,0
635,0.3304032,0
636,0.18771464,0
637,0.105689764,0
638,0.083594024,0
639,0.101315916,0
640,0.08132073,0
641,0.11161077,0
642,0.08022514,0
643,0.20421875,0
644,0.097443044,0
645,0.2569536,0
646,0.10834664,0
647,0.15407592,0
648,0.06111121,0
649,0.3930404,0
650,0.16019696,0
651,0.20502162,0
652,0.331352,0
653,0.11641091,0
654,0.10504985,0
655,0.088891566,0
656,0.091171,0
657,0.12653866,0
658,0.08162114,0
659,0.0644421,0
660,0.24442068,0
661,0.45311242,0
662,0.47545964,0
663,0.46023637,0
664,0.40763038,0
665,0.19483659,0
666,0.11049327,0
667,0.18443799,0
668,0.1677323,0
669,0.25184518,0
670,0.45845473,0
671,0.2874908,0
672,0.28144106,0
673,0.1495685,0
674,0.2168425,0
675,0.6584958,1
676,0.49226326,0
677,0.25022608,0
678,0.18623841,0
679,0.5947014,1
680,0.24618033,0
681,0.213583,0
682,0.26797754,0
683,0.25018114,0
684,0.34427768,0
685,0.1913496,0
686,0.27531904,0
687,0.50565135,1
688,0.4727379,0
689,0.3687032,0
690,0.53351206,1
691,0.27665642,0
692,0.32073337,0
693,0.5809653,1
694,0.6220752,1
695,0.61122805,1
696,0.4801347,0
697,0.43176737,0
698,0.4743381,0
699,0.48388493,0
700,0.39108816,0
701,0.46139324,0
702,0.42911518,0
703,0.46662807,0
704,0.23795775,0
705,0.3197872,0
706,0.2888576,0
707,0.17503071,0
708,0.13706338,0
709,0.500181,1
710,0.4819858,0
711,0.5984548,1
712,0.44843075,0
713,0.52004117,1
714,0.56191885,1
715,0.4435292,0
716,0.3770679,0
717,0.39353338,0
718,0.2509786,0
719,0.15722483,0
720,0.6201836,1
721,0.49745744,0
722,0.6325788,1
723,0.63400596,1
724,0.69796544,1
725,0.674162,1
726,0.7092678,1
727,0.6866668,1
728,0.264126,0
729,0.14132968,0
730,0.2782868,0
731,0.123551816,0
732,0.3960906,0
733,0.39396012,0
734,0.4321313,0
735,0.47642806,0
736,0.3464822,0
737,0.4394619,0
738,0.14237162,0
739,0.1558635,0
740,0.4186591,0
741,0.08203325,0
742,0.11048502,0
743,0.17734668,0
744,0.2208764,0
745,0.342479,0
746,0.5204847,1
747,0.26172245,0
748,0.26760334,0
749,0.13620105,0
750,0.12932566,0
751,0.16518167,0
752,0.14143223,0
753,0.08667314,0
754,0.09761429,0
755,0.12778696,0
756,0.10403606,0
757,0.22938329,0
758,0.06465331,0
759,0.06879559,0
760,0.47453976,0
761,0.12309256,0
762,0.25666702,0
763,0.2839144,0
764,0.09448144,0
765,0.08404735,0
766,0.079075724,0
767,0.087831646,0
768,0.09796712,0
769,0.17840946,0
770,0.06851429,0
771,0.25317436,0
772,0.450222,0
773,0.45733714,0
774,0.40445814,0
775,0.3175494,0
776,0.33879647,0
777,0.26809,0
778,0.20279133,0
779,0.2393221,0
780,0.24204221,0
781,0.2728681,0
782,0.25177008,0
783,0.17302066,0
784,0.18967283,0
785,0.24976367,0
786,0.57021236,1
787,0.4073139,0
788,0.20531154,0
789,0.17653406,0
790,0.2402015,0
791,0.22341305,0
792,0.19045982,0
793,0.26567632,0
794,0.26305062,0
795,0.28384525,0
796,0.45479548,0
797,0.39352292,0
798,0.60456586,1
799,0.35056913,0
800,0.5963987,1
801,0.28395283,0
802,0.34937075,0
803,0.5589965,1
804,0.5766032,1
805,0.56927925,1
806,0.34750098,0
807,0.6303181,1
808,0.45209607,0
809,0.5964023,1
810,0.5968071,1
811,0.49551892,0
812,0.41744363,0
813,0.41793758,0
814,0.46481276,0
815,0.2555017,0
816,0.30102274,0
817,0.26581913,0
818,0.07799542,0
819,0.12669891,0
820,0.49669585,0
821,0.5178918,1
822,0.66462684,1
823,0.5286617,1
824,0.43409413,0
825,0.6193844,1
826,0.44802102,0
827,0.41725028,0
828,0.4179257,0
829,0.2742109,0
830,0.3134687,0
831,0.55948246,1
832,0.57824004,1
833,0.65361166,1
834,0.6695747,1
835,0.67910105,1
836,0.68943727,1
837,0.70131516,1
838,0.66896707,1
839,0.4701136,0
840,0.2054871,0
841,0.2131092,0
842,0.16932663,0
843,0.49019364,0
844,0.4384131,0
845,0.413567,0
846,0.47916377,0
847,0.45282775,0
848,0.37707976,0
849,0.4606232,0
850,0.2692159,0
851,0.5064501,1
852,0.10549384,0
853,0.1229074,0
854,0.23806664,0
855,0.21222964,0
856,0.24477848,0
857,0.11145559,0
858,0.4404473,0
859,0.55053514,1
860,0.21594116,0
861,0.117865264,0
862,0.17007738,0
863,0.24675098,0
864,0.38293603,0
865,0.06917399,0
866,0.11564192,0
867,0.2786427,0
868,0.13491014,0
869,0.04656896,0
870,0.09753889,0
871,0.46295172,0
872,0.11269504,0
873,0.27123368,0
874,0.28861696,0
875,0.07919431,0
876,0.0827699,0
877,0.067236185,0
878,0.07249388,0
879,0.07442021,0
880,0.21726161,0
881,0.23027486,0
882,0.17331618,0
883,0.38689506,0
884,0.42197758,0
885,0.40456274,0
886,0.28892866,0
887,0.34965807,0
888,0.13027495,0
889,0.11074439,0
890,0.09557971,0
891,0.13283816,0
892,0.1115351,0
893,0.17336577,0
894,0.17953557,0
895,0.48305726,0
896,0.43838605,0
897,0.5502771,1
898,0.5027621,1
899,0.2519185,0
900,0.2575041,0
901,0.20327392,0
902,0.1797534,0
903,0.25945455,0
904,0.26158068,0
905,0.18169928,0
906,0.2773447,0
907,0.28702158,0
908,0.43620953,0
909,0.54383975,1
910,0.41487026,0
911,0.6518961,1
912,0.3273427,0
913,0.7055458,1
914,0.57229966,1
915,0.49816042,0
916,0.3674528,0
917,0.52157426,1
918,0.54623103,1
919,0.50575805,1
920,0.61332285,1
921,0.6499047,1
922,0.54828423,1
923,0.39006174,0
924,0.4251125,0
925,0.43356895,0
926,0.18988979,0
927,0.36137313,0
928,0.23138037,0
929,0.08899331,0
930,0.20276707,0
931,0.4843273,0
932,0.5174905,1
933,0.6826415,1
934,0.5245961,1
935,0.5131256,1
936,0.62451875,1
937,0.5674728,1
938,0.3621369,0
939,0.4142202,0
940,0.13825545,0
941,0.46521825,0
942,0.604995,1
943,0.63641286,1
944,0.6269839,1
945,0.6759582,1
946,0.6951776,1
947,0.70304036,1
948,0.6897031,1
949,0.66768014,1
950,0.6595635,1
951,0.26445514,0
952,0.10832468,0
953,0.19395599,0
954,0.4798092,0
955,0.46065202,0
956,0.4728566,0
957,0.5124766,1
958,0.45636296,0
959,0.36842257,0
960,0.38522014,0
961,0.2676748,0
962,0.23269102,0
963,0.25089893,0
964,0.46066195,0
965,0.65242803,1
966,0.29673505,0
967,0.15475601,0
968,0.19274595,0
969,0.20007312,0
970,0.18397966,0
971,0.22677073,0
972,0.1544044,0
973,0.2043767,0
974,0.14411363,0
975,0.06362903,0
976,0.07802054,0
977,0.0797573,0
978,0.128566,0
979,0.26940992,0
980,0.23999903,0
981,0.2784595,0
982,0.111168474,0
983,0.07566878,0
984,0.13450673,0
985,0.18861127,0
